base,semente,agente,nivel,taxa,mu
historica_0.05,2,2,alta,0.05478692368243181,0.11835000000000001
historica_0.05,2,2,muito alta,0.22765825467780565,0.14925
historica_0.05,2,3,baixa,0.0004440971553834105,0.05
historica_0.05,2,3,media,0.12703388066927587,0.09675
historica_0.05,2,3,alta,0.03950905093474405,0.11835000000000001
historica_0.05,2,3,muito alta,0.1518446374406471,0.14925
historica_0.05,2,4,baixa,0.012703097500258321,0.05
historica_0.05,2,4,media,0.0482937357033163,0.09675
historica_0.05,2,4,alta,0.10886574900582836,0.11835000000000001
historica_0.05,2,4,muito alta,0.05858237056472909,0.14925
historica_0.05,2,5,baixa,0.008236231668324477,0.05
historica_0.05,2,5,media,0.08026499886692255,0.09675
historica_0.05,2,5,alta,0.009625011767799372,0.11835000000000001
historica_0.05,2,5,muito alta,0.5239094943858129,0.14925
historica_0.05,3,0,baixa,0.08747184538137001,0.05
historica_0.05,3,0,media,0.00120606928963574,0.09675
historica_0.05,3,0,alta,0.02719278823783924,0.11835000000000001
historica_0.05,3,0,muito alta,0.0421631425343448,0.14925
historica_0.05,3,1,baixa,0.0018821569016239006,0.05
historica_0.05,3,1,media,0.04728814378097418,0.09675
historica_0.05,3,1,alta,0.04197051318334418,0.11835000000000001
historica_0.05,3,1,muito alta,0.20353020714234737,0.14925
historica_0.05,3,2,baixa,0.00017026420146555246,0.05
historica_0.05,3,2,media,0.0027102664269552422,0.09675
historica_0.05,3,2,alta,0.08276662839870756,0.11835000000000001
historica_0.05,3,2,muito alta,0.00019083743885787643,0.14925
historica_0.05,3,3,baixa,0.0017088063379519462,0.05
historica_0.05,3,3,media,0.07813136326661757,0.09675
historica_0.05,3,3,alta,0.021519457185567577,0.11835000000000001
historica_0.05,3,3,muito alta,0.23533693176235018,0.14925
historica_0.05,3,4,baixa,0.05158706076954574,0.05
historica_0.05,3,4,media,0.2108839703040271,0.09675
historica_0.05,3,4,alta,0.42636308586897076,0.11835000000000001
historica_0.05,3,4,muito alta,0.07443336503597904,0.14925
historica_0.05,3,5,baixa,0.1735981858479469,0.05
historica_0.05,3,5,media,0.00691760635103262,0.09675
historica_0.05,3,5,alta,0.14757253622568003,0.11835000000000001
historica_0.05,3,5,muito alta,0.042606296367204116,0.14925
historica_0.1,0,0,baixa,0.05784066688597082,0.1
historica_0.1,0,0,media,0.18993813504895346,0.1935
historica_0.1,0,0,alta,0.9323078600458232,0.23670000000000002
historica_0.1,0,0,muito alta,8.735256459380531e-05,0.2985
historica_0.1,0,1,baixa,0.16487232666726276,0.1
historica_0.1,0,1,media,0.13356503071828565,0.1935
historica_0.1,0,1,alta,0.003943490575109933,0.23670000000000002
historica_0.1,0,1,muito alta,0.46931435241253605,0.2985
historica_0.1,0,2,baixa,0.0754390356580961,0.1
historica_0.1,0,2,media,0.2260881933172559,0.1935
historica_0.1,0,2,alta,0.06697937185296692,0.23670000000000002
historica_0.1,0,2,muito alta,0.13626629501798065,0.2985
historica_0.1,0,3,baixa,0.016330332611948176,0.1
historica_0.1,0,3,media,0.01590198473800362,0.1935
historica_0.1,0,3,alta,0.5459978794897296,0.23670000000000002
historica_0.1,0,3,muito alta,0.6005057708905686,0.2985
historica_0.1,0,4,baixa,0.006712794285579643,0.1
historica_0.1,0,4,media,0.02539238003683634,0.1935
historica_0.1,0,4,alta,0.06310431374677311,0.23670000000000002
historica_0.1,0,4,muito alta,0.332331423810587,0.2985
historica_0.1,0,5,baixa,0.10129126921034684,0.1
historica_0.1,0,5,media,0.04242267286573843,0.1935
historica_0.1,0,5,alta,0.6912243188673602,0.23670000000000002
historica_0.1,0,5,muito alta,0.04385045331234033,0.2985
historica_0.1,1,0,baixa,0.03484597935135771,0.1
historica_0.1,1,0,media,0.0001192178433502784,0.1935
historica_0.1,1,0,alta,0.6774378900575981,0.23670000000000002
historica_0.1,1,0,muito alta,0.34344048225838625,0.2985
historica_0.1,1,1,baixa,0.03464350333331873,0.1
historica_0.1,1,1,media,0.03547051274937948,0.1935
historica_0.1,1,1,alta,0.0009740462286862804,0.23670000000000002
historica_0.1,1,1,muito alta,0.7285262880769476,0.2985
historica_0.1,1,2,baixa,0.00037848681354823717,0.1
historica_0.1,1,2,media,0.0013401968860745881,0.1935
historica_0.1,1,2,alta,0.09873499631111533,0.23670000000000002
historica_0.1,1,2,muito alta,0.47349839033472535,0.2985
historica_0.1,1,3,baixa,0.12724261871295553,0.1
historica_0.1,1,3,media,0.03220789989074563,0.1935
historica_0.1,1,3,alta,0.006504753259414288,0.23670000000000002
historica_0.1,1,3,muito alta,0.8886115608463513,0.2985
historica_0.1,1,4,baixa,0.08324983133040466,0.1
historica_0.1,1,4,media,0.1033395595080396,0.1935
historica_0.1,1,4,alta,0.8701444460614605,0.23670000000000002
historica_0.1,1,4,muito alta,0.5341933709645252,0.2985
historica_0.1,1,5,baixa,0.17095981647057043,0.1
historica_0.1,1,5,media,0.03155014567045865,0.1935
historica_0.1,1,5,alta,0.017051526819838833,0.23670000000000002
historica_0.1,1,5,muito alta,0.0014096860862070559,0.2985
historica_0.1,2,0,baixa,0.019311791018931997,0.1
historica_0.1,2,0,media,0.20192322661608075,0.1935
historica_0.1,2,0,alta,0.026783265723452895,0.23670000000000002
historica_0.1,2,0,muito alta,0.7800981330054249,0.2985
historica_0.1,2,1,baixa,0.004445048039575463,0.1
historica_0.1,2,1,media,0.19926103570883041,0.1935
historica_0.1,2,1,alta,0.09140945203938756,0.23670000000000002
historica_0.1,2,1,muito alta,0.09961569230334168,0.2985
historica_0.1,2,2,baixa,0.029687456440357814,0.1
historica_0.1,2,2,media,0.04905469817257452,0.1935
historica_0.1,2,2,alta,0.5501283392312977,0.23670000000000002
historica_0.1,2,2,muito alta,0.7537185436220092,0.2985
historica_0.1,2,3,baixa,0.046706454325651584,0.1
historica_0.1,2,3,media,0.2980681955707662,0.1935
historica_0.1,2,3,alta,0.00010902451388868817,0.23670000000000002
historica_0.1,2,3,muito alta,0.9041043072187791,0.2985
historica_0.1,2,4,baixa,0.17299900742931382,0.1
historica_0.1,2,4,media,0.24385901681042066,0.1935
historica_0.1,2,4,alta,0.03043385572729453,0.23670000000000002
historica_0.1,2,4,muito alta,0.5714658580756151,0.2985
historica_0.1,2,5,baixa,0.005293293089897904,0.1
historica_0.1,2,5,media,0.0014334153692500387,0.1935
historica_0.1,2,5,alta,0.011892566317349806,0.23670000000000002
historica_0.1,2,5,muito alta,0.5567714374743823,0.2985
historica_0.1,3,0,baixa,0.18407738429059492,0.1
historica_0.1,3,0,media,0.0004561858157480455,0.1935
historica_0.1,3,0,alta,0.04807531572781394,0.23670000000000002
historica_0.1,3,0,muito alta,0.28949263671947356,0.2985
historica_0.1,3,1,baixa,0.013158382541278518,0.1
historica_0.1,3,1,media,0.03844800893408363,0.1935
historica_0.1,3,1,alta,0.23189906719954353,0.23670000000000002
historica_0.1,3,1,muito alta,0.12719360396061657,0.2985
historica_0.1,3,2,baixa,0.10744892170169996,0.1
historica_0.1,3,2,media,0.1090354747397154,0.1935
historica_0.1,3,2,alta,0.12128824263581549,0.23670000000000002
historica_0.1,3,2,muito alta,0.69501277721202,0.2985
historica_0.1,3,3,baixa,0.0809075236126713,0.1
historica_0.1,3,3,media,0.008208198728850898,0.1935
historica_0.1,3,3,alta,0.5115085553987536,0.23670000000000002
historica_0.1,3,3,muito alta,0.26868483649965275,0.2985
historica_0.1,3,4,baixa,0.026366135979200844,0.1
historica_0.1,3,4,media,0.11303577370060468,0.1935
historica_0.1,3,4,alta,0.16149723905730717,0.23670000000000002
historica_0.1,3,4,muito alta,0.06592843369324568,0.2985
historica_0.1,3,5,baixa,0.012013274241482784,0.1
historica_0.1,3,5,media,0.6993998098034331,0.1935
historica_0.1,3,5,alta,0.2779721693594203,0.23670000000000002
historica_0.1,3,5,muito alta,0.8946345490994771,0.2985
curto,0,0,baixa,0.008365901609289818,0.0128
curto,0,0,media,0.014678133958088944,0.0256
curto,0,0,alta,0.26543783272527627,0.038400000000000004
curto,0,0,muito alta,0.0014799165192149002,0.0512
curto,0,1,baixa,0.0026654504788019826,0.0128
curto,0,1,media,0.0018137742877917117,0.0256
curto,0,1,alta,0.012311780760429788,0.038400000000000004
curto,0,1,muito alta,0.03364755774433965,0.0512
curto,0,2,baixa,0.019041954910492032,0.0128
curto,0,2,media,0.015787321865166785,0.0256
curto,0,2,alta,0.015128900305360855,0.038400000000000004
curto,0,2,muito alta,0.08373467661056742,0.0512
curto,0,3,baixa,0.003254126018967735,0.0128
curto,0,3,media,0.008344908022004655,0.0256
curto,0,3,alta,0.040087598918273425,0.038400000000000004
curto,0,3,muito alta,0.005327049795560558,0.0512
curto,0,4,baixa,0.011144083388247118,0.0128
curto,0,4,media,0.006336157607123151,0.0256
curto,0,4,alta,0.02254679711375531,0.038400000000000004
curto,0,4,muito alta,0.02042844836876606,0.0512
curto,0,5,baixa,0.003091104393264113,0.0128
curto,0,5,media,0.04497615714204704,0.0256
curto,0,5,alta,0.02494408467604661,0.038400000000000004
curto,0,5,muito alta,0.1309293823466636,0.0512
curto,1,0,baixa,0.005657697319977288,0.0128
curto,1,0,media,0.00018392536309196894,0.0256
curto,1,0,alta,0.04021970968986739,0.038400000000000004
curto,1,0,muito alta,0.34431328982375653,0.0512
curto,1,1,baixa,0.004496994078380387,0.0128
curto,1,1,media,0.005801233549589534,0.0256
curto,1,1,alta,0.0005257964128991407,0.038400000000000004
curto,1,1,muito alta,0.10569269427452843,0.0512
curto,1,2,baixa,0.01574427428822824,0.0128
curto,1,2,media,0.0026055381369487355,0.0256
curto,1,2,alta,0.019217402430051874,0.038400000000000004
curto,1,2,muito alta,0.04976972082159239,0.0512
curto,1,3,baixa,0.01247928232718692,0.0128
curto,1,3,media,0.01904579125507055,0.0256
curto,1,3,alta,0.002073647928874585,0.038400000000000004
curto,1,3,muito alta,0.09386881917629883,0.0512
curto,1,4,baixa,0.09012496018129523,0.0128
curto,1,4,media,0.009299986113717238,0.0256
curto,1,4,alta,0.06406021031606908,0.038400000000000004
curto,1,4,muito alta,0.07751131809175127,0.0512
curto,1,5,baixa,0.00302442505553035,0.0128
curto,1,5,media,0.005073734550266525,0.0256
curto,1,5,alta,0.0036821785807336534,0.038400000000000004
curto,1,5,muito alta,0.004747154700953608,0.0512
curto,2,0,baixa,0.00209113820753463,0.0128
curto,2,0,media,0.018716111201582206,0.0256
curto,2,0,alta,3.458147538005021e-05,0.038400000000000004
curto,2,0,muito alta,0.0601949064039066,0.0512
curto,2,1,baixa,0.0047094225521781725,0.0128
curto,2,1,media,0.013598568031547695,0.0256
curto,2,1,alta,0.0431185123134747,0.038400000000000004
curto,2,1,muito alta,0.015002883048895271,0.0512
curto,2,2,baixa,0.005244105464051057,0.0128
curto,2,2,media,0.05517553971314564,0.0256
curto,2,2,alta,0.018857906685882365,0.038400000000000004
curto,2,2,muito alta,0.07789086708717577,0.0512
curto,2,3,baixa,0.0001378281774207101,0.0128
curto,2,3,media,0.042427856997647395,0.0256
curto,2,3,alta,0.015519063967792717,0.038400000000000004
curto,2,3,muito alta,0.03576677151893651,0.0512
curto,2,4,baixa,0.0035072882980594455,0.0128
curto,2,4,media,0.012451847792944665,0.0256
curto,2,4,alta,0.0392686221373027,0.038400000000000004
curto,2,4,muito alta,0.024227119802543495,0.0512
curto,2,5,baixa,0.0021779738441283837,0.0128
curto,2,5,media,0.01830927186132506,0.0256
curto,2,5,alta,0.004674744794781924,0.038400000000000004
curto,2,5,muito alta,0.049591956088199454,0.0512
curto,3,0,baixa,0.021130561274559735,0.0128
curto,3,0,media,0.00075586594615175,0.0256
curto,3,0,alta,0.008356399012073978,0.038400000000000004
curto,3,0,muito alta,0.01582156864340257,0.0512
curto,3,1,baixa,0.0005834664527803391,0.0128
curto,3,1,media,0.011035853316404103,0.0256
curto,3,1,alta,0.015874724148178896,0.038400000000000004
curto,3,1,muito alta,0.07181943058887919,0.0512
curto,3,2,baixa,6.665247371820023e-05,0.0128
curto,3,2,media,0.0012925690256985216,0.0256
curto,3,2,alta,0.0275706525215906,0.038400000000000004
curto,3,2,muito alta,0.00030844983070702923,0.0512
curto,3,3,baixa,0.0005612294596007088,0.0128
curto,3,3,media,0.026993258802291538,0.0256
curto,3,3,alta,0.007864714023761678,0.038400000000000004
curto,3,3,muito alta,0.058776039122041414,0.0512
curto,3,4,baixa,0.014062018204984426,0.0128
curto,3,4,media,0.05329685206722054,0.0256
curto,3,4,alta,0.10872493313519857,0.038400000000000004
curto,3,4,muito alta,0.02595738684339189,0.0512
curto,3,5,baixa,0.039702313780989866,0.0128
curto,3,5,media,0.0025010966308354424,0.0256
curto,3,5,alta,0.034152890744533454,0.038400000000000004
curto,3,5,muito alta,0.019054369119244123,0.0512
longo,0,0,baixa,0.008365901609289818,0.0128
longo,0,0,media,0.014678133958088944,0.0256
longo,0,0,alta,0.3447036658717175,0.0512
longo,0,0,muito alta,0.0020959403412492326,0.1024
longo,0,1,baixa,0.0026654504788019826,0.0128
longo,0,1,media,0.0018137742877917117,0.0256
longo,0,1,alta,0.015750098529910384,0.0512
longo,0,1,muito alta,0.07781458117952215,0.1024
longo,0,2,baixa,0.019041954910492032,0.0128
longo,0,2,media,0.015787321865166785,0.0256
longo,0,2,alta,0.018997131120086126,0.0512
longo,0,2,muito alta,0.16247657346682653,0.1024
longo,0,3,baixa,0.003254126018967735,0.0128
longo,0,3,media,0.008344908022004655,0.0256
longo,0,3,alta,0.05250161148929841,0.0512
longo,0,3,muito alta,0.008121675028320624,0.1024
longo,0,4,baixa,0.011144083388247118,0.0128
longo,0,4,media,0.006336157607123151,0.0256
longo,0,4,alta,0.031366131597949494,0.0512
longo,0,4,muito alta,0.03985523229584622,0.1024
longo,0,5,baixa,0.003091104393264113,0.0128
longo,0,5,media,0.04497615714204704,0.0256
longo,0,5,alta,0.03347629504817413,0.0512
longo,0,5,muito alta,0.3870686412312336,0.1024
longo,1,0,baixa,0.005657697319977288,0.0128
longo,1,0,media,0.00018392536309196894,0.0256
longo,1,0,alta,0.05701712717996476,0.0512
longo,1,0,muito alta,0.6549335496325174,0.1024
longo,1,1,baixa,0.004496994078380387,0.0128
longo,1,1,media,0.005801233549589534,0.0256
longo,1,1,alta,0.0006837680817570896,0.0512
longo,1,1,muito alta,0.23005772159346838,0.1024
longo,1,2,baixa,0.01574427428822824,0.0128
longo,1,2,media,0.0026055381369487355,0.0256
longo,1,2,alta,0.0248844767268897,0.0512
longo,1,2,muito alta,0.09004970921564943,0.1024
longo,1,3,baixa,0.01247928232718692,0.0128
longo,1,3,media,0.01904579125507055,0.0256
longo,1,3,alta,0.002762885388293971,0.0512
longo,1,3,muito alta,0.18183346204419518,0.1024
longo,1,4,baixa,0.09012496018129523,0.0128
longo,1,4,media,0.009299986113717238,0.0256
longo,1,4,alta,0.08820447968236172,0.0512
longo,1,4,muito alta,0.17604988514066136,0.1024
longo,1,5,baixa,0.00302442505553035,0.0128
longo,1,5,media,0.005073734550266525,0.0256
longo,1,5,alta,0.0044948022742945775,0.0512
longo,1,5,muito alta,0.008084649943321781,0.1024
longo,2,0,baixa,0.00209113820753463,0.0128
longo,2,0,media,0.018716111201582206,0.0256
longo,2,0,alta,3.951866043255557e-05,0.0512
longo,2,0,muito alta,0.11080069896839558,0.1024
longo,2,1,baixa,0.0047094225521781725,0.0128
longo,2,1,media,0.013598568031547695,0.0256
longo,2,1,alta,0.05702569957315689,0.0512
longo,2,1,muito alta,0.03039421881424355,0.1024
longo,2,2,baixa,0.005244105464051057,0.0128
longo,2,2,media,0.05517553971314564,0.0256
longo,2,2,alta,0.024826004692644777,0.0512
longo,2,2,muito alta,0.1559047553136156,0.1024
longo,2,3,baixa,0.0001378281774207101,0.0128
longo,2,3,media,0.042427856997647395,0.0256
longo,2,3,alta,0.01995400333893116,0.0512
longo,2,3,muito alta,0.08566768504838934,0.1024
longo,2,4,baixa,0.0035072882980594455,0.0128
longo,2,4,media,0.012451847792944665,0.0256
longo,2,4,alta,0.0513324460900598,0.0512
longo,2,4,muito alta,0.04353119132728666,0.1024
longo,2,5,baixa,0.0021779738441283837,0.0128
longo,2,5,media,0.01830927186132506,0.0256
longo,2,5,alta,0.005885156110994416,0.0512
longo,2,5,muito alta,0.10828017400270337,0.1024
longo,3,0,baixa,0.021130561274559735,0.0128
longo,3,0,media,0.00075586594615175,0.0256
longo,3,0,alta,0.011338237022921192,0.0512
longo,3,0,muito alta,0.030672229774356508,0.1024
longo,3,1,baixa,0.0005834664527803391,0.0128
longo,3,1,media,0.011035853316404103,0.0256
longo,3,1,alta,0.02054811469099585,0.0512
longo,3,1,muito alta,0.14130097471876632,0.1024
longo,3,2,baixa,6.665247371820023e-05,0.0128
longo,3,2,media,0.0012925690256985216,0.0256
longo,3,2,alta,0.03654707937959295,0.0512
longo,3,2,muito alta,0.000307288751172289,0.1024
longo,3,3,baixa,0.0005612294596007088,0.0128
longo,3,3,media,0.026993258802291538,0.0256
longo,3,3,alta,0.0103646923026345,0.0512
longo,3,3,muito alta,0.13811250338226178,0.1024
longo,3,4,baixa,0.014062018204984426,0.0128
longo,3,4,media,0.05329685206722054,0.0256
longo,3,4,alta,0.153121805791602,0.0512
longo,3,4,muito alta,0.050960655797922395,0.1024
longo,3,5,baixa,0.039702313780989866,0.0128
longo,3,5,media,0.0025010966308354424,0.0256
longo,3,5,alta,0.04818022802318014,0.0512
longo,3,5,muito alta,0.03293370870596311,0.1024
