arquivo,combinacao,instancia,tarefa,duracao,n_sucessores,sucessores,R1,R2,R3,R4,ES,LS,folga_total,makespan_instancia,intensidade_recursos,duracao_norm,intensidade_norm,folga_norm,criticidade_folga,criticidade_sucessores,Di,nivel_dificuldade,multiplicador_risco,multiplicador_ic95_inferior,multiplicador_ic95_superior
j6010_10.sm,10,10,13,2,3,16;26;30,5,1,0,6,18,40,22,73,0.0899833805579773,0.1111111111111111,0.2842425733439941,0.4074074074074074,0.5925925925925926,1.0,0.3293154256825659,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,14,5,3,24;28;40,0,10,0,3,19,19,0,73,0.1023185483870967,0.4444444444444444,0.3399348053385817,0.0,1.0,1.0,0.5947930832610087,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,15,2,2,19;54,0,2,5,0,20,44,24,73,0.046875,0.1111111111111111,0.0896119072513684,0.4444444444444444,0.5555555555555556,0.5,0.2520928579726783,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,16,7,1,55,0,6,9,0,20,45,25,73,0.103125,0.6666666666666666,0.3435758656743957,0.4629629629629629,0.537037037037037,0.0,0.5157598564593664,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,17,5,2,35;46,6,0,6,3,12,53,41,73,0.1022340889276373,0.4444444444444444,0.3395534780736823,0.7592592592592593,0.2407407407407407,0.5,0.3415795544196224,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,18,8,1,52,6,8,0,1,18,41,23,73,0.1111050566695728,0.7777777777777778,0.3796051417676364,0.4259259259259259,0.5740740740740741,0.0,0.577152331206496,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,19,4,1,44,10,10,10,5,22,50,28,73,0.2485151482127288,0.3333333333333333,1.0,0.5185185185185185,0.4814814814814815,0.0,0.6049382716049383,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,20,4,2,27;33,8,2,5,0,9,40,31,73,0.100929054054054,0.3333333333333333,0.3336613567870103,0.5740740740740741,0.4259259259259259,0.5,0.3643068720154231,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,21,6,1,36,5,4,6,7,12,44,32,73,0.1589853966870096,0.5555555555555556,0.5957807983270804,0.5925925925925926,0.4074074074074074,0.0,0.5195812537633477,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,22,5,1,29,8,4,0,2,18,31,13,73,0.1014330863121185,0.4444444444444444,0.335937019496894,0.2407407407407407,0.7592592592592593,0.0,0.5132135744001992,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,23,5,1,42,10,2,6,4,19,32,13,73,0.1529506320836966,0.4444444444444444,0.5685343502060398,0.2407407407407407,0.7592592592592593,0.0,0.5907460179699144,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,24,1,1,34,0,6,2,9,24,56,32,73,0.1319556451612903,0.0,0.4737437726797466,0.5925925925925926,0.4074074074074074,0.0,0.2937170600290513,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,25,3,1,51,2,8,0,8,5,59,54,73,0.1405296425457715,0.2222222222222222,0.5124546405067962,1.0,0.0,0.0,0.2448922875763394,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,26,5,2,36;48,5,4,9,1,20,45,25,73,0.129348299912816,0.4444444444444444,0.4619718309859155,0.4629629629629629,0.537037037037037,0.5,0.4811511041557989,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,27,3,1,53,4,2,4,0,13,48,35,73,0.067652027027027,0.2222222222222222,0.1834184144166307,0.6481481481481481,0.3518518518518518,0.0,0.2524974961635682,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,28,8,2,31;43,1,1,3,9,24,24,0,73,0.105899901918047,0.7777777777777778,0.3561043114582693,0.0,1.0,0.5,0.7112940297453489,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,29,1,1,42,2,1,1,3,23,36,13,73,0.0517695619006102,0.0,0.1117104372962666,0.2407407407407407,0.7592592592592593,0.0,0.2903232321851753,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,30,7,1,38,3,0,6,7,20,42,22,73,0.114221883173496,0.6666666666666666,0.393677347930377,0.4074074074074074,0.5925925925925926,0.0,0.550978869063212,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,31,9,1,47,9,10,0,0,32,32,0,73,0.1389358108108108,0.8888888888888888,0.5052586259917584,0.0,1.0,0.0,0.7980491716268824,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,32,5,1,34,6,0,10,6,12,52,40,73,0.151427637314734,0.4444444444444444,0.5616581585583369,0.7407407407407407,0.2592592592592593,0.0,0.4217872874206801,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,33,8,2,37;48,10,1,10,7,13,44,31,73,0.1943316804707933,0.7777777777777778,0.7553662586874962,0.5740740740740741,0.4259259259259259,0.5,0.6530233207970666,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,34,2,1,58,9,0,6,0,25,57,32,73,0.0983108108108108,0.1111111111111111,0.3218402115751276,0.5925925925925926,0.4074074074074074,0.0,0.280119576697882,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,35,1,1,58,0,0,1,8,17,58,41,73,0.070766129032258,0.0,0.1974783196998585,0.7592592592592593,0.2407407407407407,0.0,0.1460730201468664,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,36,5,1,56,9,9,0,0,25,50,25,73,0.1311233108108108,0.4444444444444444,0.4699858539885601,0.4629629629629629,0.537037037037037,0.0,0.4838224451566805,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,37,10,2,40;60,4,0,0,0,21,52,31,73,0.027027027027027,1.0,0.0,0.5740740740740741,0.4259259259259259,0.5,0.4753086419753086,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,38,5,2,44;56,0,10,0,2,27,49,22,73,0.0942540322580645,0.4444444444444444,0.3035242019804416,0.4074074074074074,0.5925925925925926,0.5,0.4468537463391595,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,39,9,1,46,8,7,5,10,20,52,32,73,0.2206367153443766,0.8888888888888888,0.8741312503844024,0.5925925925925926,0.4074074074074074,0.0,0.7234758488935662,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,40,2,1,59,4,0,0,4,31,62,31,73,0.059285091543156,0.1111111111111111,0.1456424134325604,0.5740740740740741,0.4259259259259259,0.0,0.2275598168231991,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,41,1,1,42,5,3,4,2,11,36,25,73,0.0983503160418483,0.0,0.3220185743280645,0.4629629629629629,0.537037037037037,0.0,0.2863518704550338,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,42,9,2,50;54,3,3,2,10,24,37,13,73,0.1368529315605928,0.8888888888888888,0.4958546036041577,0.2407407407407407,0.7592592592592593,0.5,0.7146675839174352,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,43,10,1,45,1,6,0,7,32,45,13,73,0.1100833696599825,1.0,0.3749923119503044,0.2407407407407407,0.7592592592592593,0.0,0.7114171904031878,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,44,1,1,45,7,0,0,8,32,54,22,73,0.1118134263295553,0.0,0.3828033704409865,0.4074074074074074,0.5925925925925926,0.0,0.3251319876778596,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,45,7,1,51,0,0,0,4,42,55,13,73,0.032258064516129,0.6666666666666666,0.0236176886647395,0.2407407407407407,0.7592592592592593,0.0,0.4831812048635551,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,46,3,1,50,1,2,8,0,29,61,32,73,0.0723817567567567,0.2222222222222222,0.2047727412509994,0.5925925925925926,0.4074074074074074,0.0,0.2781341236268763,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,47,8,3,52;55;58,9,10,9,2,41,41,0,73,0.2113148430688753,0.7777777777777778,0.8320437911310659,0.0,1.0,1.0,0.8699405229696144,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,48,5,1,50,5,5,0,0,25,59,34,73,0.0728462837837837,0.4444444444444444,0.2068700412079464,0.6296296296296297,0.3703703703703703,0.0,0.3405616186742537,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,49,10,1,59,6,10,0,0,26,54,28,73,0.1186655405405405,1.0,0.4137400824158928,0.5185185185185185,0.4814814814814815,0.0,0.6317405212991247,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,50,2,1,61,4,3,7,3,33,64,31,73,0.1184080754141237,0.1111111111111111,0.412577649301925,0.5740740740740741,0.4259259259259259,0.0,0.316538228779654,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,51,4,1,61,7,0,0,0,49,62,13,73,0.0472972972972973,0.3333333333333333,0.0915185435758656,0.2407407407407407,0.7592592592592593,0.0,0.3947037120561527,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,52,6,2,56;60,10,4,8,0,49,49,0,73,0.1488175675675676,0.5555555555555556,0.549873915984993,0.0,1.0,0.5,0.7018098238468495,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,53,6,1,57,3,3,10,4,16,51,35,73,0.1384658347863993,0.5555555555555556,0.5031367242757857,0.6481481481481481,0.3518518518518518,0.0,0.470181377227731,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,54,6,1,55,10,4,4,0,33,46,13,73,0.1238175675675675,0.5555555555555556,0.4370010455747586,0.2407407407407407,0.7592592592592593,0.0,0.5839386201298578,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,55,5,1,57,6,7,1,4,49,52,3,73,0.1337361050566695,0.4444444444444444,0.4817823974414171,0.0555555555555555,0.9444444444444444,0.0,0.6235570954434353,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,56,2,1,57,10,1,6,10,55,55,0,73,0.1935252288578901,0.1111111111111111,0.7517251983516822,0.0,1.0,0.0,0.6209454364875977,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,57,9,1,61,4,4,9,8,57,57,0,73,0.179043156059285,0.8888888888888888,0.686339873300941,0.0,1.0,0.0,0.85840958739661,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,58,5,1,59,0,4,8,10,49,59,10,73,0.1618951612903225,0.4444444444444444,0.6089181376468418,0.1851851851851851,0.8148148148148149,0.0,0.6227257989687003,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,59,9,1,62,10,4,2,3,54,64,10,73,0.1355111159546643,0.8888888888888888,0.4897964204440617,0.1851851851851851,0.8148148148148149,0.0,0.7311667080492551,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,60,1,1,62,0,9,7,10,55,72,17,73,0.1947076612903225,0.0,0.7570637800602743,0.3148148148148148,0.6851851851851851,0.0,0.4807496550818197,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,61,7,1,62,7,0,10,7,66,66,0,73,0.1662489102005231,0.6666666666666666,0.6285749431084322,0.0,1.0,0.0,0.7650805365916995,muito alta,2.985046237095499,1.87825,4.15626
j6010_2.sm,10,2,2,7,3,7;9;10,0,6,6,8,0,1,1,62,0.139563033347455,0.6666666666666666,0.5789200877500693,0.025,0.975,1.0,0.7401955848055786,muito alta,2.985046237095499,1.87825,4.15626
j6010_2.sm,10,2,3,7,3,5;6;37,9,0,1,2,0,0,0,62,0.0733629568700379,0.6666666666666666,0.2765388985167306,0.0,1.0,1.0,0.6477351883944658,alta,2.36668955851816,1.72008,3.22851
j6010_2.sm,10,2,4,9,3,12;14;17,1,0,7,1,0,0,0,62,0.0564292611401187,0.8888888888888888,0.1991910867709964,0.0,1.0,1.0,0.696026658553295,muito alta,2.985046237095499,1.87825,4.15626
