arquivo,combinacao,instancia,n_nos,n_atividades_reais,n_arcos,aciclico,n_recursos_renovaveis,n_recursos_nao_renovaveis,horizonte,NC,RF,RS,duracao_media,duracao_maxima,makespan_sem_recursos,disponibilidades
j6014_4.sm,14,4,62,60,93,True,4,0,336,1.5,1.0,0.5,5.6,10,65,32;35;37;34
j6014_5.sm,14,5,62,60,93,True,4,0,312,1.5,1.0,0.506054,5.2,10,59,41;40;45;39
j6014_6.sm,14,6,62,60,93,True,4,0,314,1.5,1.0,0.504116,5.2333,10,65,43;30;39;39
j6014_7.sm,14,7,62,60,93,True,4,0,315,1.5,1.0,0.507958,5.25,10,69,33;31;35;37
j6014_8.sm,14,8,62,60,93,True,4,0,287,1.5,1.0,0.509388,4.7833,10,88,30;31;35;27
j6014_9.sm,14,9,62,60,93,True,4,0,308,1.5,1.0,0.5,5.1333,10,61,36;36;33;45
j6015_1.sm,15,1,62,60,93,True,4,0,334,1.5,1.0,0.704867,5.5667,10,84,41;49;43;48
j6015_10.sm,15,10,62,60,93,True,4,0,300,1.5,1.0,0.702853,5.0,10,61,51;48;48;49
j6015_2.sm,15,2,62,60,93,True,4,0,339,1.5,1.0,0.703283,5.65,10,89,41;36;34;38
j6015_3.sm,15,3,62,60,93,True,4,0,341,1.5,1.0,0.702053,5.6833,10,72,63;52;50;49
j6015_4.sm,15,4,62,60,93,True,4,0,373,1.5,1.0,0.705973,6.2167,10,75,46;51;52;42
j6015_5.sm,15,5,62,60,93,True,4,0,342,1.5,1.0,0.700234,5.7,10,70,39;43;52;44
j6015_6.sm,15,6,62,60,93,True,4,0,333,1.5,1.0,0.701967,5.55,10,76,46;49;42;35
j6015_7.sm,15,7,62,60,93,True,4,0,333,1.5,1.0,0.701167,5.55,10,64,61;48;48;61
j6015_8.sm,15,8,62,60,93,True,4,0,361,1.5,1.0,0.698816,6.0167,10,79,46;38;41;54
j6015_9.sm,15,9,62,60,93,True,4,0,378,1.5,1.0,0.698682,6.3,10,72,79;73;65;60
j6016_1.sm,16,1,62,60,93,True,4,0,365,1.5,1.0,1.0,6.0833,10,64,69;62;67;69
j6016_10.sm,16,10,62,60,93,True,4,0,356,1.5,1.0,1.0,5.9333,10,68,66;55;59;64
j6016_2.sm,16,2,62,60,93,True,4,0,335,1.5,1.0,1.0,5.5833,10,64,92;71;67;77
j6016_3.sm,16,3,62,60,93,True,4,0,308,1.5,1.0,1.0,5.1333,10,53,61;69;69;94
j6016_4.sm,16,4,62,60,93,True,4,0,312,1.5,1.0,1.0,5.2,10,60,80;61;50;59
j6016_5.sm,16,5,62,60,93,True,4,0,329,1.5,1.0,1.0,5.4833,10,66,75;84;64;71
j6016_6.sm,16,6,62,60,93,True,4,0,361,1.5,1.0,1.0,6.0167,10,66,65;76;55;64
j6016_7.sm,16,7,62,60,93,True,4,0,297,1.5,1.0,1.0,4.95,10,82,49;47;45;43
j6016_8.sm,16,8,62,60,93,True,4,0,340,1.5,1.0,1.0,5.6667,10,68,66;60;69;65
j6016_9.sm,16,9,62,60,93,True,4,0,321,1.5,1.0,1.0,5.35,10,54,78;73;67;70
j6017_1.sm,17,1,62,60,112,True,4,0,313,1.806452,0.25,0.140693,5.2167,10,76,12;10;13;14
j6017_10.sm,17,10,62,60,112,True,4,0,364,1.806452,0.25,0.205177,6.0667,10,65,12;12;11;14
j6017_2.sm,17,2,62,60,112,True,4,0,305,1.806452,0.25,0.160189,5.0833,10,67,13;13;10;12
j6017_3.sm,17,3,62,60,112,True,4,0,363,1.806452,0.25,0.182576,6.05,10,79,11;12;10;13
j6017_4.sm,17,4,62,60,112,True,4,0,305,1.806452,0.25,0.200645,5.0833,10,69,13;12;12;11
j6017_5.sm,17,5,62,60,112,True,4,0,275,1.806452,0.25,0.198465,4.5833,10,52,14;11;11;17
j6017_6.sm,17,6,62,60,112,True,4,0,297,1.806452,0.25,0.149929,4.95,10,67,15;9;14;15
j6017_7.sm,17,7,62,60,112,True,4,0,357,1.806452,0.25,0.205177,5.95,10,81,12;12;12;9
j6017_8.sm,17,8,62,60,112,True,4,0,330,1.806452,0.25,0.152813,5.5,10,66,13;15;15;9
j6017_9.sm,17,9,62,60,112,True,4,0,322,1.806452,0.25,0.201786,5.3667,10,70,13;15;12;12
j6018_1.sm,18,1,62,60,112,True,4,0,332,1.806452,0.25,0.533543,5.5333,10,80,13;15;19;18
j6018_10.sm,18,10,62,60,112,True,4,0,383,1.806452,0.25,0.5,6.3833,10,97,14;22;12;16
j6018_2.sm,18,2,62,60,112,True,4,0,344,1.806452,0.25,0.52521,5.7333,10,69,18;19;14;19
j6018_3.sm,18,3,62,60,112,True,4,0,320,1.806452,0.25,0.525,5.3333,10,77,18;13;13;13
j6018_4.sm,18,4,62,60,112,True,4,0,378,1.806452,0.25,0.532769,6.3,10,71,18;18;20;14
j6018_5.sm,18,5,62,60,112,True,4,0,321,1.806452,0.25,0.513768,5.35,10,80,18;16;22;10
j6018_6.sm,18,6,62,60,112,True,4,0,320,1.806452,0.25,0.526852,5.3333,10,61,15;18;24;20
j6018_7.sm,18,7,62,60,112,True,4,0,316,1.806452,0.25,0.5,5.2667,10,87,14;29;14;13
j6018_8.sm,18,8,62,60,112,True,4,0,333,1.806452,0.25,0.552473,5.55,10,78,14;13;22;17
j6018_9.sm,18,9,62,60,112,True,4,0,330,1.806452,0.25,0.517857,5.5,10,69,14;16;14;17
j6019_1.sm,19,1,62,60,112,True,4,0,336,1.806452,0.25,0.715785,5.6,10,62,18;21;16;21
j6019_10.sm,19,10,62,60,112,True,4,0,336,1.806452,0.25,0.73539,5.6,10,78,25;17;17;13
j6019_2.sm,19,2,62,60,112,True,4,0,376,1.806452,0.25,0.712225,6.2667,10,83,14;19;16;19
j6019_3.sm,19,3,62,60,112,True,4,0,350,1.806452,0.25,0.721164,5.8333,10,81,19;29;11;13
j6019_4.sm,19,4,62,60,112,True,4,0,318,1.806452,0.25,0.705815,5.3,10,67,15;30;13;19
j6019_5.sm,19,5,62,60,112,True,4,0,329,1.806452,0.25,0.712121,5.4833,10,73,24;13;14;24
j6019_6.sm,19,6,62,60,112,True,4,0,342,1.806452,0.25,0.711619,5.7,10,68,21;21;19;21
j6019_7.sm,19,7,62,60,112,True,4,0,315,1.806452,0.25,0.712124,5.25,10,60,16;23;24;20
j6019_8.sm,19,8,62,60,112,True,4,0,331,1.806452,0.25,0.732452,5.5167,10,82,19;13;21;12
j6019_9.sm,19,9,62,60,112,True,4,0,354,1.806452,0.25,0.721709,5.9,10,67,21;21;22;17
j601_1.sm,1,1,62,60,93,True,4,0,329,1.5,0.25,0.193624,5.4833,10,77,13;11;12;13
j601_10.sm,1,10,62,60,93,True,4,0,354,1.5,0.25,0.198214,5.9,10,76,14;11;12;11
j601_2.sm,1,2,62,60,93,True,4,0,344,1.5,0.25,0.203571,5.7333,10,65,13;15;14;14
j601_3.sm,1,3,62,60,93,True,4,0,316,1.5,0.25,0.203119,5.2667,10,67,16;19;14;12
j601_4.sm,1,4,62,60,93,True,4,0,324,1.5,0.25,0.209544,5.4,10,79,15;13;13;13
j601_5.sm,1,5,62,60,93,True,4,0,308,1.5,0.25,0.202305,5.1333,10,68,13;7;14;14
j601_6.sm,1,6,62,60,93,True,4,0,296,1.5,0.25,0.216521,4.9333,10,52,14;12;13;15
j601_7.sm,1,7,62,60,93,True,4,0,341,1.5,0.25,0.204074,5.6833,10,60,13;11;14;14
j601_8.sm,1,8,62,60,93,True,4,0,363,1.5,0.25,0.230556,6.05,10,71,13;12;14;12
j601_9.sm,1,9,62,60,93,True,4,0,342,1.5,0.25,0.213248,5.7,10,75,13;11;13;14
j6020_1.sm,20,1,62,60,112,True,4,0,342,1.806452,0.25,1.0,5.7,10,60,28;32;26;22
j6020_10.sm,20,10,62,60,112,True,4,0,326,1.806452,0.25,1.0,5.4333,10,70,18;21;15;31
j6020_2.sm,20,2,62,60,112,True,4,0,288,1.806452,0.25,1.0,4.8,10,78,21;20;12;12
j6020_3.sm,20,3,62,60,112,True,4,0,348,1.806452,0.25,1.0,5.8,10,69,16;25;29;26
j6020_4.sm,20,4,62,60,112,True,4,0,338,1.806452,0.25,1.0,5.6333,10,86,21;35;22;35
j6020_5.sm,20,5,62,60,112,True,4,0,343,1.806452,0.25,1.0,5.7167,10,71,35;22;13;25
j6020_6.sm,20,6,62,60,112,True,4,0,338,1.806452,0.25,1.0,5.6333,10,97,36;23;17;19
j6020_7.sm,20,7,62,60,112,True,4,0,328,1.806452,0.25,1.0,5.4667,10,74,19;37;16;29
j6020_8.sm,20,8,62,60,112,True,4,0,315,1.806452,0.25,1.0,5.25,10,65,20;29;26;17
j6020_9.sm,20,9,62,60,112,True,4,0,362,1.806452,0.25,1.0,6.0333,10,74,16;23;21;19
j6021_1.sm,21,1,62,60,112,True,4,0,332,1.806452,0.504167,0.193171,5.5333,10,76,13;15;11;14
j6021_10.sm,21,10,62,60,112,True,4,0,277,1.806452,0.504167,0.19852,4.6167,10,51,15;17;13;15
j6021_2.sm,21,2,62,60,112,True,4,0,324,1.806452,0.504167,0.199822,5.4,10,92,13;15;13;16
j6021_3.sm,21,3,62,60,112,True,4,0,326,1.806452,0.504167,0.198629,5.4333,10,65,14;18;14;14
j6021_4.sm,21,4,62,60,112,True,4,0,296,1.806452,0.504167,0.18611,4.9333,10,64,13;15;15;14
j6021_5.sm,21,5,62,60,112,True,4,0,327,1.806452,0.504167,0.198104,5.45,10,75,17;16;19;18
j6021_6.sm,21,6,62,60,112,True,4,0,309,1.806452,0.504167,0.198629,5.15,10,63,14;18;14;13
j6021_7.sm,21,7,62,60,112,True,4,0,334,1.806452,0.504167,0.200812,5.5667,10,80,15;15;16;15
j6021_8.sm,21,8,62,60,112,True,4,0,334,1.806452,0.504167,0.188425,5.5667,10,85,17;15;13;14
j6021_9.sm,21,9,62,60,112,True,4,0,350,1.806452,0.504167,0.192137,5.8333,10,69,16;16;20;16
j6022_1.sm,22,1,62,60,112,True,4,0,305,1.806452,0.504167,0.503571,5.0833,10,62,25;28;23;24
j6022_10.sm,22,10,62,60,112,True,4,0,326,1.806452,0.504167,0.513187,5.4333,10,69,16;18;26;28
j6022_2.sm,22,2,62,60,112,True,4,0,357,1.806452,0.504167,0.505685,5.95,10,83,28;18;32;33
j6022_3.sm,22,3,62,60,112,True,4,0,323,1.806452,0.504167,0.515993,5.3833,10,70,24;15;23;23
j6022_4.sm,22,4,62,60,112,True,4,0,359,1.806452,0.504167,0.508049,5.9833,10,64,31;17;23;24
j6022_5.sm,22,5,62,60,112,True,4,0,307,1.806452,0.504167,0.513305,5.1167,10,76,22;19;22;21
j6022_6.sm,22,6,62,60,112,True,4,0,351,1.806452,0.504167,0.512963,5.85,10,79,24;28;18;30
j6022_7.sm,22,7,62,60,112,True,4,0,374,1.806452,0.504167,0.503205,6.2333,10,69,30;26;30;25
j6022_8.sm,22,8,62,60,112,True,4,0,326,1.806452,0.504167,0.503205,5.4333,10,59,30;23;20;31
j6022_9.sm,22,9,62,60,112,True,4,0,365,1.806452,0.504167,0.510652,6.0833,10,65,28;30;26;31
j6023_1.sm,23,1,62,60,112,True,4,0,386,1.806452,0.504167,0.702919,6.4333,10,75,36;28;27;27
j6023_10.sm,23,10,62,60,112,True,4,0,290,1.806452,0.504167,0.704497,4.8333,10,68,27;24;30;28
j6023_2.sm,23,2,62,60,112,True,4,0,355,1.806452,0.504167,0.704748,5.9167,10,69,23;33;43;40
j6023_3.sm,23,3,62,60,112,True,4,0,331,1.806452,0.504167,0.705991,5.5167,10,75,25;17;31;32
j6023_4.sm,23,4,62,60,112,True,4,0,334,1.806452,0.504167,0.699163,5.5667,10,83,28;27;29;19
j6023_5.sm,23,5,62,60,112,True,4,0,347,1.806452,0.504167,0.697624,5.7833,10,72,34;28;31;37
j6023_6.sm,23,6,62,60,112,True,4,0,312,1.806452,0.504167,0.70365,5.2,10,81,22;22;37;19
j6023_7.sm,23,7,62,60,112,True,4,0,313,1.806452,0.504167,0.704308,5.2167,10,60,23;24;36;28
j6023_8.sm,23,8,62,60,112,True,4,0,332,1.806452,0.504167,0.710991,5.5333,10,72,32;25;24;28
j6023_9.sm,23,9,62,60,112,True,4,0,308,1.806452,0.504167,0.71022,5.1333,10,64,25;30;27;28
j6024_1.sm,24,1,62,60,112,True,4,0,284,1.806452,0.504167,1.0,4.7333,10,65,21;22;25;38
j6024_10.sm,24,10,62,60,112,True,4,0,344,1.806452,0.504167,1.0,5.7333,10,66,41;30;27;33
j6024_2.sm,24,2,62,60,112,True,4,0,306,1.806452,0.504167,1.0,5.1,10,55,36;47;59;40
j6024_3.sm,24,3,62,60,112,True,4,0,313,1.806452,0.504167,1.0,5.2167,10,67,24;40;33;46
j6024_4.sm,24,4,62,60,112,True,4,0,353,1.806452,0.504167,1.0,5.8833,10,78,43;29;25;42
j6024_5.sm,24,5,62,60,112,True,4,0,316,1.806452,0.504167,1.0,5.2667,10,76,37;36;28;28
j6024_6.sm,24,6,62,60,112,True,4,0,308,1.806452,0.504167,1.0,5.1333,10,75,37;27;37;45
j6024_7.sm,24,7,62,60,112,True,4,0,344,1.806452,0.504167,1.0,5.7333,10,68,47;41;38;33
j6024_8.sm,24,8,62,60,112,True,4,0,353,1.806452,0.504167,1.0,5.8833,10,81,36;38;30;19
j6024_9.sm,24,9,62,60,112,True,4,0,330,1.806452,0.504167,1.0,5.5,10,80,24;26;29;45
j6025_1.sm,25,1,62,60,112,True,4,0,292,1.806452,0.754167,0.199519,4.8667,10,71,15;15;15;18
j6025_10.sm,25,10,62,60,112,True,4,0,352,1.806452,0.754167,0.199189,5.8667,10,77,21;17;17;19
j6025_2.sm,25,2,62,60,112,True,4,0,353,1.806452,0.754167,0.200173,5.8833,10,69,21;18;21;18
j6025_3.sm,25,3,62,60,112,True,4,0,358,1.806452,0.754167,0.20599,5.9667,10,90,18;19;16;16
j6025_4.sm,25,4,62,60,112,True,4,0,336,1.806452,0.754167,0.201392,5.6,10,78,13;17;18;20
j6025_5.sm,25,5,62,60,112,True,4,0,283,1.806452,0.754167,0.205573,4.7167,10,61,17;17;18;17
j6025_6.sm,25,6,62,60,112,True,4,0,348,1.806452,0.754167,0.20351,5.8,10,75,18;19;16;18
j6025_7.sm,25,7,62,60,112,True,4,0,283,1.806452,0.754167,0.198914,4.7167,10,66,20;16;16;18
j6025_8.sm,25,8,62,60,112,True,4,0,326,1.806452,0.754167,0.206133,5.4333,10,57,16;19;20;18
j6025_9.sm,25,9,62,60,112,True,4,0,287,1.806452,0.754167,0.201198,4.7833,10,69,17;17;16;14
j6026_1.sm,26,1,62,60,112,True,4,0,319,1.806452,0.754167,0.503788,5.3167,10,80,27;25;31;32
j6026_10.sm,26,10,62,60,112,True,4,0,314,1.806452,0.754167,0.504724,5.2333,10,85,36;23;25;38
j6026_2.sm,26,2,62,60,112,True,4,0,295,1.806452,0.754167,0.512205,4.9167,10,63,27;27;24;24
j6026_3.sm,26,3,62,60,112,True,4,0,347,1.806452,0.754167,0.510894,5.7833,10,71,28;25;29;30
j6026_4.sm,26,4,62,60,112,True,4,0,312,1.806452,0.754167,0.511443,5.2,10,65,29;26;29;26
j6026_5.sm,26,5,62,60,112,True,4,0,292,1.806452,0.754167,0.505458,4.8667,10,61,35;32;36;27
j6026_6.sm,26,6,62,60,112,True,4,0,330,1.806452,0.754167,0.509354,5.5,10,73,27;32;34;23
j6026_7.sm,26,7,62,60,112,True,4,0,298,1.806452,0.754167,0.507411,4.9667,10,72,29;25;31;26
j6026_8.sm,26,8,62,60,112,True,4,0,345,1.806452,0.754167,0.506939,5.75,10,89,30;26;32;24
j6026_9.sm,26,9,62,60,112,True,4,0,363,1.806452,0.754167,0.505211,6.05,10,62,39;29;34;35
j6027_1.sm,27,1,62,60,112,True,4,0,346,1.806452,0.754167,0.703884,5.7667,10,96,34;30;28;24
j6027_10.sm,27,10,62,60,112,True,4,0,326,1.806452,0.754167,0.703841,5.4333,10,57,51;39;35;48
j6027_2.sm,27,2,62,60,112,True,4,0,277,1.806452,0.754167,0.700168,4.6167,10,74,29;33;24;31
j6027_3.sm,27,3,62,60,112,True,4,0,303,1.806452,0.754167,0.696482,5.05,10,76,35;27;32;26
j6027_4.sm,27,4,62,60,112,True,4,0,302,1.806452,0.754167,0.702391,5.0333,10,60,40;44;32;44
j6027_5.sm,27,5,62,60,112,True,4,0,344,1.806452,0.754167,0.697624,5.7333,10,78,38;34;37;28
j6027_6.sm,27,6,62,60,112,True,4,0,348,1.806452,0.754167,0.700171,5.8,10,64,43;39;42;33
j6027_7.sm,27,7,62,60,112,True,4,0,338,1.806452,0.754167,0.701319,5.6333,10,83,41;36;37;32
j6027_8.sm,27,8,62,60,112,True,4,0,325,1.806452,0.754167,0.70459,5.4167,10,88,37;25;34;34
j6027_9.sm,27,9,62,60,112,True,4,0,323,1.806452,0.754167,0.701493,5.3833,10,76,37;39;37;35
j6028_1.sm,28,1,62,60,112,True,4,0,354,1.806452,0.754167,1.0,5.9,10,92,49;32;42;38
j6028_10.sm,28,10,62,60,112,True,4,0,404,1.806452,0.754167,1.0,6.7333,10,74,68;64;48;55
j6028_2.sm,28,2,62,60,112,True,4,0,307,1.806452,0.754167,1.0,5.1167,10,64,45;32;52;53
j6028_3.sm,28,3,62,60,112,True,4,0,307,1.806452,0.754167,1.0,5.1167,10,72,35;47;45;39
j6028_4.sm,28,4,62,60,112,True,4,0,331,1.806452,0.754167,1.0,5.5167,10,84,36;53;44;33
j6028_5.sm,28,5,62,60,112,True,4,0,331,1.806452,0.754167,1.0,5.5167,10,71,61;57;55;47
j6028_6.sm,28,6,62,60,112,True,4,0,346,1.806452,0.754167,1.0,5.7667,10,89,46;37;34;46
j6028_7.sm,28,7,62,60,112,True,4,0,332,1.806452,0.754167,1.0,5.5333,10,75,61;53;58;58
j6028_8.sm,28,8,62,60,112,True,4,0,319,1.806452,0.754167,1.0,5.3167,10,62,40;38;33;49
j6028_9.sm,28,9,62,60,112,True,4,0,347,1.806452,0.754167,1.0,5.7833,10,74,51;47;44;46
j6029_1.sm,29,1,62,60,112,True,4,0,307,1.806452,1.0,0.193706,5.1167,10,59,21;18;21;19
j6029_10.sm,29,10,62,60,112,True,4,0,352,1.806452,1.0,0.201641,5.8667,10,70,22;18;19;22
j6029_2.sm,29,2,62,60,112,True,4,0,317,1.806452,1.0,0.191564,5.2833,10,88,18;17;17;16
j6029_3.sm,29,3,62,60,112,True,4,0,346,1.806452,1.0,0.200329,5.7667,10,72,20;20;19;21
j6029_4.sm,29,4,62,60,112,True,4,0,358,1.806452,1.0,0.202388,5.9667,10,75,18;18;18;19
j6029_5.sm,29,5,62,60,112,True,4,0,326,1.806452,1.0,0.196875,5.4333,10,77,20;20;19;21
j6029_6.sm,29,6,62,60,112,True,4,0,408,1.806452,1.0,0.19896,6.8,10,77,16;21;19;19
j6029_7.sm,29,7,62,60,112,True,4,0,308,1.806452,1.0,0.200271,5.1333,10,73,20;18;20;16
j6029_8.sm,29,8,62,60,112,True,4,0,322,1.806452,1.0,0.202477,5.3667,10,72,24;22;22;22
j6029_9.sm,29,9,62,60,112,True,4,0,306,1.806452,1.0,0.200037,5.1,10,70,18;20;19;18
j602_1.sm,2,1,62,60,93,True,4,0,324,1.5,0.25,0.519841,5.4,10,65,21;16;15;21
j602_10.sm,2,10,62,60,93,True,4,0,386,1.5,0.25,0.509615,6.4333,10,64,17;16;23;15
j602_2.sm,2,2,62,60,93,True,4,0,343,1.5,0.25,0.510402,5.7167,10,82,19;31;14;13
j602_3.sm,2,3,62,60,93,True,4,0,391,1.5,0.25,0.513889,6.5167,10,77,23;14;22;15
j602_4.sm,2,4,62,60,93,True,4,0,332,1.5,0.25,0.522487,5.5333,10,78,20;14;24;13
j602_5.sm,2,5,62,60,93,True,4,0,338,1.5,0.25,0.508662,5.6333,10,53,14;14;25;24
j602_6.sm,2,6,62,60,93,True,4,0,309,1.5,0.25,0.50463,5.15,10,61,17;24;17;18
j602_7.sm,2,7,62,60,93,True,4,0,336,1.5,0.25,0.511387,5.6,10,49,18;22;20;14
j602_8.sm,2,8,62,60,93,True,4,0,328,1.5,0.25,0.556373,5.4667,10,66,19;11;17;19
j602_9.sm,2,9,62,60,93,True,4,0,336,1.5,0.25,0.519781,5.6,10,65,24;27;16;16
j6030_1.sm,30,1,62,60,112,True,4,0,301,1.806452,1.0,0.505102,5.0167,10,70,35;36;30;35
j6030_10.sm,30,10,62,60,112,True,4,0,362,1.806452,1.0,0.506285,6.0333,10,81,33;32;29;32
j6030_2.sm,30,2,62,60,112,True,4,0,328,1.806452,1.0,0.502778,5.4667,10,65,32;33;30;30
j6030_3.sm,30,3,62,60,112,True,4,0,376,1.806452,1.0,0.505051,6.2667,10,80,33;33;38;29
j6030_4.sm,30,4,62,60,112,True,4,0,318,1.806452,1.0,0.506484,5.3,10,76,36;42;41;37
j6030_5.sm,30,5,62,60,112,True,4,0,363,1.806452,1.0,0.50266,6.05,10,72,34;36;39;37
j6030_6.sm,30,6,62,60,112,True,4,0,299,1.806452,1.0,0.501812,4.9833,10,68,33;45;36;37
j6030_7.sm,30,7,62,60,112,True,4,0,363,1.806452,1.0,0.509334,6.05,10,77,29;33;31;32
j6030_8.sm,30,8,62,60,112,True,4,0,316,1.806452,1.0,0.506515,5.2667,10,63,38;39;41;41
j6030_9.sm,30,9,62,60,112,True,4,0,352,1.806452,1.0,0.507407,5.8667,10,98,31;31;33;24
j6031_1.sm,31,1,62,60,112,True,4,0,307,1.806452,1.0,0.702372,5.1167,10,65,42;49;49;58
j6031_10.sm,31,10,62,60,112,True,4,0,314,1.806452,1.0,0.702002,5.2333,10,56,44;46;41;48
j6031_2.sm,31,2,62,60,112,True,4,0,342,1.806452,1.0,0.696249,5.7,10,74,46;39;44;44
j6031_3.sm,31,3,62,60,112,True,4,0,322,1.806452,1.0,0.700075,5.3667,10,66,54;46;44;43
j6031_4.sm,31,4,62,60,112,True,4,0,317,1.806452,1.0,0.701648,5.2833,10,68,35;39;36;43
j6031_5.sm,31,5,62,60,112,True,4,0,330,1.806452,1.0,0.701244,5.5,10,72,44;53;49;63
j6031_6.sm,31,6,62,60,112,True,4,0,388,1.806452,1.0,0.69964,6.4667,10,72,52;51;53;47
j6031_7.sm,31,7,62,60,112,True,4,0,319,1.806452,1.0,0.69825,5.3167,10,76,42;35;33;39
j6031_8.sm,31,8,62,60,112,True,4,0,335,1.806452,1.0,0.699487,5.5833,10,75,37;44;46;46
