project,source_file,source_row,BRANCH_COUNT,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,LOC_CODE_AND_COMMENT,LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,defective,rotulo_original
CM1,CM1.arff,25,9,5,4,4,35.02,17.25,10420.79,0.2,110,0.06,578.93,604.1,3,15,31,34,33,77,22,23,0,N
CM1,CM1.arff,26,7,4,1,4,21.34,24.44,12748.97,0.17,98,0.04,708.28,521.54,6,0,21,27,40,58,18,22,0,N
CM1,CM1.arff,27,13,7,7,1,104.75,22.14,51324.87,0.77,349,0.05,2851.38,2318.71,16,23,59,75,126,223,74,26,1,Y
CM1,CM1.arff,28,9,5,3,5,35.13,12.55,5531.32,0.15,84,0.08,307.3,440.83,0,17,22,22,31,53,21,17,1,Y
CM1,CM1.arff,29,71,37,26,21,127.7,71.54,653537.1,3.05,1177,0.01,36307.62,9135.35,14,170,196,210,454,723,165,52,1,Y
CM1,CM1.arff,30,7,4,2,1,45.35,25.34,29117.23,0.38,193,0.04,1617.62,1149.16,10,22,30,40,75,118,37,25,0,N
CM1,CM1.arff,31,5,3,1,3,14.65,4.8,337.48,0.02,19,0.21,18.75,70.31,0,0,9,9,6,13,5,8,0,N
CM1,CM1.arff,32,9,5,3,1,27.08,39.72,42716.37,0.36,197,0.03,2373.13,1075.51,2,20,24,26,87,110,23,21,0,N
CM1,CM1.arff,33,3,2,2,1,94.81,13.88,18268.21,0.44,210,0.07,1014.9,1316.03,0,6,42,42,91,119,59,18,0,N
CM1,CM1.arff,34,11,6,1,4,7.45,30.8,7065.15,0.08,54,0.03,392.51,229.39,0,0,15,15,22,32,5,14,0,N
CM1,CM1.arff,35,3,2,1,1,10.9,12.0,1569.59,0.04,32,0.08,87.2,130.8,2,2,11,13,10,22,5,12,0,N
CM1,CM1.arff,36,5,3,1,1,21.83,10.42,2369.07,0.08,51,0.1,131.62,227.43,0,0,12,12,25,26,12,10,0,N
CM1,CM1.arff,37,35,18,16,7,195.05,21.41,89412.4,1.39,591,0.05,4967.36,4176.06,4,18,91,95,218,373,112,22,1,Y
CM1,CM1.arff,38,29,15,6,11,118.83,46.92,261640.64,1.86,781,0.02,14535.59,5575.99,2,65,149,151,333,448,110,31,0,N
CM1,CM1.arff,39,33,17,11,9,88.15,36.04,114516.56,1.06,465,0.03,6362.03,3177.29,25,15,75,100,193,272,83,31,0,N
CM1,CM1.arff,40,16,13,13,1,35.91,21.53,16649.11,0.26,132,0.05,924.95,773.25,1,0,49,50,53,79,32,26,0,N
CM1,CM1.arff,41,11,6,5,4,26.39,12.07,3845.69,0.11,67,0.08,213.65,318.58,2,3,18,20,26,41,14,13,0,N
CM1,CM1.arff,42,37,20,18,1,171.78,29.58,150305.78,1.69,702,0.03,8350.32,5081.36,0,62,149,149,220,482,119,32,1,Y
CM1,CM1.arff,43,5,3,2,3,24.32,7.64,1418.49,0.06,40,0.13,78.8,185.75,0,5,16,16,12,28,11,14,0,N
CM1,CM1.arff,44,7,4,3,1,45.51,16.36,12184.85,0.25,130,0.06,676.94,744.63,9,31,32,41,54,76,33,20,0,N
CM1,CM1.arff,45,3,2,2,1,19.71,5.5,596.3,0.04,26,0.18,33.13,108.42,0,2,9,9,11,15,9,9,0,N
CM1,CM1.arff,46,9,5,5,1,102.23,12.09,14944.77,0.41,211,0.08,830.27,1236.03,6,4,49,55,76,135,44,14,1,Y
CM1,CM1.arff,47,7,4,1,1,18.87,19.62,7260.95,0.12,77,0.05,403.39,370.17,11,30,16,27,34,43,13,15,0,N
CM1,CM1.arff,48,5,3,2,1,55.95,7.24,2931.85,0.14,81,0.14,162.88,405.0,2,0,22,24,37,44,23,9,0,N
CM1,CM1.arff,49,9,5,3,3,24.71,21.86,11802.86,0.18,108,0.05,655.71,540.0,4,5,27,31,34,74,14,18,0,N
CM1,CM1.arff,50,11,6,6,1,64.31,12.0,9260.02,0.26,146,0.08,514.45,771.67,4,0,34,38,54,92,27,12,0,N
CM1,CM1.arff,51,3,2,1,1,24.71,10.58,2764.2,0.09,57,0.09,153.57,261.33,0,0,19,19,25,32,13,11,0,N
CM1,CM1.arff,52,7,4,4,4,46.9,10.5,5170.32,0.16,96,0.1,287.24,492.41,1,5,23,24,28,68,20,15,0,N
CM1,CM1.arff,53,141,73,41,30,293.68,43.41,553518.63,4.25,1500,0.02,30751.03,12749.77,45,339,411,456,568,932,314,48,1,Y
CM1,CM1.arff,54,3,2,1,1,37.54,7.6,2168.23,0.1,60,0.13,120.46,285.29,0,0,15,15,19,41,15,12,0,N
CM1,CM1.arff,55,11,6,4,1,30.61,23.1,16332.07,0.24,128,0.04,907.34,707.02,5,19,28,33,55,73,25,21,0,N
CM1,CM1.arff,56,37,19,13,19,73.61,37.75,104901.75,0.93,422,0.03,5827.87,2778.85,0,18,69,69,151,271,64,32,0,N
CM1,CM1.arff,57,7,4,4,1,34.26,11.57,4586.97,0.13,75,0.09,254.83,396.41,1,23,23,24,27,48,21,18,0,N
CM1,CM1.arff,58,7,4,3,3,30.72,19.13,11241.58,0.2,107,0.05,624.53,587.63,1,7,24,25,40,67,23,22,1,Y
CM1,CM1.arff,59,3,2,1,1,16.29,9.29,1404.34,0.05,37,0.11,78.02,151.24,3,0,14,17,13,24,7,10,0,N
CM1,CM1.arff,60,3,2,2,1,10.42,6.75,474.58,0.02,19,0.15,26.37,70.31,0,0,10,10,6,13,4,9,0,N
CM1,CM1.arff,61,3,2,1,1,11.07,4.38,211.89,0.02,14,0.23,11.77,48.43,0,10,8,8,5,9,4,7,0,N
CM1,CM1.arff,62,7,4,2,1,22.84,25.89,15315.78,0.2,109,0.04,850.88,591.46,6,10,16,22,41,68,19,24,0,N
CM1,CM1.arff,63,11,6,5,5,33.22,15.91,8407.11,0.18,98,0.06,467.06,528.45,2,7,28,30,35,63,22,20,1,Y
CM1,CM1.arff,64,13,7,5,1,26.31,23.5,14529.3,0.21,126,0.04,807.18,618.27,2,30,31,33,47,79,15,15,0,N
CM1,CM1.arff,65,29,15,1,3,61.1,22.3,30377.95,0.45,239,0.04,1687.66,1362.41,8,35,46,54,110,129,37,15,0,N
CM1,CM1.arff,66,3,2,2,1,36.77,11.48,4842.06,0.14,81,0.09,269.0,421.97,0,12,22,22,27,54,20,17,0,N
CM1,CM1.arff,67,15,8,6,1,78.29,48.05,180758.79,1.25,565,0.02,10042.15,3761.89,28,6,29,57,217,348,70,31,0,N
CM1,CM1.arff,68,19,10,1,5,30.99,33.52,34816.7,0.35,187,0.03,1934.26,1038.71,6,6,58,64,83,104,26,21,1,Y
CM1,CM1.arff,69,21,11,10,3,70.59,44.71,141084.24,1.05,475,0.02,7838.01,3155.83,9,59,82,91,190,285,68,32,1,Y
CM1,CM1.arff,70,9,5,5,1,30.19,7.85,1858.26,0.08,51,0.13,103.24,236.84,1,20,23,24,17,34,13,12,0,N
CM1,CM1.arff,71,5,3,3,1,22.4,7.33,1204.38,0.05,38,0.14,66.91,164.23,2,0,13,15,12,26,9,11,1,Y
CM1,CM1.arff,72,3,2,1,1,36.78,7.07,1838.97,0.09,56,0.14,102.16,260.06,0,0,14,14,18,38,14,11,0,N
CM1,CM1.arff,73,3,2,2,1,16.52,6.19,632.28,0.03,25,0.16,35.13,102.19,0,2,7,7,11,14,8,9,0,N
CM1,CM1.arff,74,15,8,6,4,35.27,13.74,6655.21,0.16,93,0.07,369.73,484.48,14,22,27,41,29,64,19,18,0,N
CM1,CM1.arff,75,3,2,1,1,13.77,13.5,2508.88,0.06,43,0.07,139.38,185.84,2,2,9,11,18,25,8,12,0,N
CM1,CM1.arff,76,47,25,24,1,171.89,27.21,127275.78,1.56,625,0.04,7070.88,4677.38,1,58,138,139,250,375,147,32,0,N
CM1,CM1.arff,77,5,3,3,1,34.56,8.63,2570.73,0.1,62,0.12,142.82,298.06,0,2,21,21,23,39,16,12,0,N
CM1,CM1.arff,78,29,15,12,3,164.09,23.26,88801.93,1.27,537,0.04,4933.44,3817.28,3,29,121,124,221,316,114,24,1,Y
CM1,CM1.arff,79,3,2,1,1,20.51,6.11,765.94,0.04,29,0.16,42.55,125.34,0,1,11,11,10,19,9,11,0,N
CM1,CM1.arff,80,3,2,1,1,11.85,9.0,959.45,0.04,28,0.11,53.3,106.61,0,0,14,14,10,18,5,9,0,N
CM1,CM1.arff,81,9,5,5,1,97.85,22.12,47876.6,0.72,331,0.05,2659.81,2164.46,9,14,60,69,114,217,67,26,0,N
CM1,CM1.arff,82,9,5,1,1,14.28,19.94,5674.43,0.09,67,0.05,315.25,284.61,1,4,31,32,29,38,8,11,0,N
CM1,CM1.arff,83,5,3,3,1,31.39,9.47,2815.15,0.1,60,0.11,156.4,297.25,3,34,18,21,23,37,17,14,1,Y
CM1,CM1.arff,84,7,4,4,1,99.18,16.49,26973.57,0.55,261,0.06,1498.53,1635.63,1,5,45,46,94,167,57,20,0,N
CM1,CM1.arff,85,25,13,10,9,84.92,18.79,29993.03,0.53,265,0.05,1666.28,1595.93,5,8,62,67,91,174,46,19,0,N
CM1,CM1.arff,86,49,25,24,15,243.12,22.99,128457.87,1.86,750,0.04,7136.55,5588.41,20,56,172,192,252,498,148,27,0,N
CM1,CM1.arff,87,21,11,9,11,61.92,36.74,83581.43,0.76,354,0.03,4643.41,2274.9,7,28,74,81,124,230,54,32,1,Y
CM1,CM1.arff,88,7,4,2,1,20.18,16.36,5403.6,0.11,73,0.06,300.2,330.22,0,0,24,24,30,43,11,12,0,N
CM1,CM1.arff,89,7,4,3,1,31.11,12.06,4520.83,0.13,75,0.08,251.16,375.0,5,1,17,22,31,44,18,14,0,N
CM1,CM1.arff,90,9,5,5,1,44.36,16.56,12163.87,0.24,141,0.06,675.77,734.53,5,0,31,36,69,72,25,12,0,N
CM1,CM1.arff,91,3,2,1,1,24.08,7.22,1256.07,0.06,39,0.14,69.78,173.92,2,0,9,11,10,29,9,13,0,N
CM1,CM1.arff,92,25,13,11,1,101.31,27.04,74089.87,0.91,421,0.04,4116.1,2739.78,0,14,106,106,192,229,71,20,0,N
CM1,CM1.arff,93,7,4,4,1,84.37,19.2,31093.83,0.54,267,0.05,1727.43,1619.65,1,29,43,44,97,170,48,19,0,N
CM1,CM1.arff,94,9,5,3,1,32.54,9.5,2936.77,0.1,63,0.11,163.15,309.13,1,0,24,25,19,44,15,15,0,N
CM1,CM1.arff,95,34,30,26,1,54.04,77.46,324260.81,1.4,605,0.01,18014.49,4185.91,3,91,133,136,220,385,71,50,1,Y
CM1,CM1.arff,96,8,6,6,1,29.49,24.0,16987.59,0.24,133,0.04,943.76,707.82,7,3,29,36,48,85,20,20,0,N
CM1,CM1.arff,97,5,3,2,1,37.71,30.2,34384.39,0.38,205,0.03,1910.24,1138.69,10,7,20,30,89,116,28,19,0,N
CM1,CM1.arff,98,7,4,2,1,24.97,20.38,10375.62,0.17,97,0.05,576.42,509.05,1,1,16,17,33,64,17,21,0,N
CM1,CM1.arff,99,7,4,3,3,28.78,18.12,9456.28,0.17,95,0.06,525.35,521.73,3,5,27,30,29,66,20,25,0,N
CM1,CM1.arff,100,3,2,1,1,28.66,11.47,3771.09,0.11,67,0.09,209.5,328.76,6,13,14,20,30,37,17,13,0,N
CM1,CM1.arff,101,5,3,2,1,15.22,12.0,2191.93,0.06,43,0.08,121.77,182.66,0,0,12,12,14,29,7,12,0,N
CM1,CM1.arff,102,7,4,1,3,10.6,10.13,1086.54,0.04,29,0.1,60.36,107.31,0,0,17,17,9,20,4,9,0,N
CM1,CM1.arff,103,11,6,2,4,21.82,22.85,11393.4,0.17,95,0.04,632.97,498.55,2,14,32,34,37,58,17,21,0,N
CM1,CM1.arff,104,5,3,1,1,61.85,12.04,8964.95,0.25,130,0.08,498.05,744.63,0,39,27,27,61,69,38,15,0,N
CM1,CM1.arff,105,7,4,3,3,39.73,19.35,14882.34,0.26,133,0.05,826.8,768.92,4,21,29,33,50,83,31,24,0,N
CM1,CM1.arff,106,7,4,4,1,51.3,7.64,2991.43,0.13,77,0.13,166.19,391.73,0,23,21,21,28,49,22,12,0,N
CM1,CM1.arff,107,7,4,4,1,54.3,7.89,3382.91,0.14,80,0.13,187.94,428.6,2,2,18,20,34,46,28,13,0,N
CM1,CM1.arff,108,9,5,5,4,18.72,21.54,8684.58,0.13,83,0.05,482.48,403.21,5,1,28,33,35,48,13,16,0,N
CM1,CM1.arff,109,13,7,6,1,34.37,26.52,24176.72,0.3,168,0.04,1343.15,911.61,1,1,36,37,67,101,24,19,0,N
CM1,CM1.arff,110,35,18,7,13,58.36,41.38,99929.77,0.8,372,0.02,5551.65,2414.97,5,70,104,109,150,222,58,32,0,N
CM1,CM1.arff,111,5,3,3,1,33.1,7.26,1746.71,0.08,49,0.14,97.04,240.44,0,0,13,13,19,30,17,13,0,N
CM1,CM1.arff,112,3,2,2,1,21.16,9.1,1752.37,0.06,42,0.11,97.35,192.57,0,13,16,16,13,29,10,14,0,N
CM1,CM1.arff,113,9,5,5,1,50.43,10.62,5682.29,0.18,102,0.09,315.68,535.29,7,0,27,34,46,56,26,12,0,N
CM1,CM1.arff,114,11,6,1,5,15.76,17.6,4880.94,0.09,59,0.06,271.16,277.33,2,2,14,16,22,37,10,16,0,N
CM1,CM1.arff,115,110,70,46,27,157.03,97.73,1499684.32,5.12,1844,0.01,83315.8,15345.64,37,191,361,398,711,1133,251,69,0,N
CM1,CM1.arff,116,7,4,4,1,46.13,14.44,9617.77,0.22,122,0.07,534.32,666.05,2,13,20,22,38,84,25,19,0,N
CM1,CM1.arff,117,13,7,5,1,29.5,36.25,38771.24,0.36,185,0.03,2153.96,1069.55,1,16,39,40,65,120,26,29,0,N
CM1,CM1.arff,118,3,2,1,1,17.24,10.64,1950.69,0.06,40,0.09,108.37,183.4,0,7,15,15,18,22,11,13,0,N
CM1,CM1.arff,119,9,5,2,1,27.4,20.78,11829.84,0.19,111,0.05,657.21,569.35,0,17,29,29,44,67,18,17,0,N
CM1,CM1.arff,120,3,2,2,1,25.62,24.42,15282.02,0.21,122,0.04,849.0,625.77,3,18,18,21,58,64,19,16,0,N
CM1,CM1.arff,121,7,4,3,1,49.79,9.48,4476.07,0.16,87,0.11,248.67,472.09,11,5,21,32,32,55,27,16,0,N
CM1,CM1.arff,122,19,10,7,9,105.02,18.86,37359.42,0.66,318,0.05,2075.52,1980.76,6,7,47,53,97,221,54,21,0,N
CM1,CM1.arff,123,11,6,6,1,46.84,21.46,21576.47,0.34,182,0.05,1198.69,1005.29,9,22,36,45,61,121,27,19,0,N
CM1,CM1.arff,124,5,3,3,1,44.75,18.67,15592.09,0.28,148,0.05,866.23,835.29,2,11,28,30,56,92,30,20,1,Y
CM1,CM1.arff,125,5,3,3,1,29.6,24.29,17460.6,0.24,137,0.04,970.03,718.97,4,3,17,21,60,77,21,17,0,N
CM1,CM1.arff,126,5,3,3,1,25.58,13.2,4456.28,0.11,71,0.08,247.57,337.6,4,0,13,17,33,38,15,12,0,N
CM1,CM1.arff,127,13,7,5,5,55.58,14.56,11789.43,0.27,142,0.07,654.97,809.46,4,18,28,32,43,99,31,21,0,N
CM1,CM1.arff,128,6,4,3,1,49.27,18.53,16907.83,0.3,151,0.05,939.32,912.7,7,6,29,36,57,94,40,26,0,N
CM1,CM1.arff,129,5,3,3,1,36.19,7.18,1867.89,0.09,52,0.14,103.77,260.0,2,24,15,17,21,31,19,13,0,N
CM1,CM1.arff,130,3,2,1,1,13.64,17.06,3972.03,0.08,53,0.06,220.67,232.79,2,2,9,11,21,32,8,13,0,N
CM1,CM1.arff,131,57,29,22,27,204.29,41.72,355647.88,2.84,1112,0.02,19758.22,8523.85,61,32,165,226,463,649,172,31,0,N
CM1,CM1.arff,132,5,3,1,1,54.96,8.31,3793.04,0.15,87,0.12,210.72,456.57,0,9,27,27,36,51,26,12,0,N
CM1,CM1.arff,133,3,2,2,1,20.76,2.5,129.72,0.02,15,0.4,7.21,51.89,2,0,12,14,6,9,6,5,0,N
CM1,CM1.arff,134,3,2,1,1,14.83,9.63,1373.5,0.05,32,0.1,76.31,142.7,1,2,11,12,11,21,8,14,0,N
CM1,CM1.arff,135,13,7,7,1,160.8,10.16,16586.02,0.54,263,0.1,921.45,1633.09,1,0,42,43,130,133,64,10,0,N
CM1,CM1.arff,136,3,2,1,1,20.27,9.17,1703.56,0.06,43,0.11,94.64,185.84,3,3,9,12,15,28,9,11,0,N
CM1,CM1.arff,137,11,6,2,1,38.41,13.45,6946.75,0.17,92,0.07,385.93,516.54,2,20,27,29,39,53,29,20,0,N
CM1,CM1.arff,138,11,6,3,1,59.16,12.6,9398.15,0.25,135,0.08,522.12,745.68,0,8,34,34,43,92,29,17,0,N
CM1,CM1.arff,139,33,17,6,7,56.02,48.06,129374.54,0.9,407,0.02,7187.47,2692.19,13,55,93,106,173,234,63,35,0,N
CM1,CM1.arff,140,3,2,1,1,17.13,10.0,1713.0,0.06,39,0.1,95.17,171.3,2,5,9,11,15,24,9,12,0,N
CM1,CM1.arff,141,3,2,1,1,10.63,3.75,149.49,0.01,12,0.27,8.3,39.86,1,6,8,9,5,7,4,6,0,N
CM1,CM1.arff,142,31,16,11,10,108.35,33.87,124313.16,1.22,526,0.03,6906.29,3670.05,28,17,76,104,199,327,94,32,0,N
CM1,CM1.arff,143,3,2,1,1,16.21,5.4,472.87,0.03,23,0.19,26.27,87.57,1,6,10,11,6,17,5,9,0,N
CM1,CM1.arff,144,19,10,6,3,47.49,47.96,109246.59,0.76,350,0.02,6069.25,2277.73,12,25,52,64,140,210,54,37,0,N
CM1,CM1.arff,145,9,5,4,5,23.83,11.5,3151.22,0.09,57,0.09,175.07,274.02,1,1,20,21,23,34,14,14,0,N
CM1,CM1.arff,146,11,6,6,1,42.36,23.73,23858.84,0.34,182,0.04,1325.49,1005.29,3,0,25,28,89,93,30,16,0,N
CM1,CM1.arff,147,37,20,10,9,83.0,51.6,220979.91,1.43,607,0.02,12276.66,4282.56,23,65,130,153,258,349,95,38,1,Y
CM1,CM1.arff,148,3,2,2,1,22.83,23.0,12075.0,0.18,105,0.04,670.83,525.0,6,6,21,27,46,59,16,16,0,N
CM1,CM1.arff,149,57,29,27,7,91.32,55.88,285170.84,1.7,729,0.02,15842.82,5103.0,45,13,130,175,309,420,94,34,0,N
CM1,CM1.arff,150,13,7,7,1,78.96,22.12,38620.28,0.58,269,0.05,2145.57,1746.31,6,14,44,50,115,154,65,25,1,Y
CM1,CM1.arff,151,7,4,4,4,46.9,10.5,5170.32,0.16,96,0.1,287.24,492.41,3,7,21,24,28,68,20,15,0,N
CM1,CM1.arff,152,58,32,20,7,151.5,22.73,78244.98,1.15,488,0.04,4346.94,3442.98,12,33,160,172,163,325,104,29,0,N
CM1,CM1.arff,153,11,6,4,5,37.5,29.45,32535.15,0.37,187,0.03,1807.51,1104.59,3,8,22,25,72,115,33,27,0,N
CM1,CM1.arff,154,17,9,9,1,183.65,7.02,9044.12,0.43,214,0.14,502.45,1288.79,2,0,62,64,100,114,57,8,0,N
CM1,CM1.arff,155,9,5,4,1,42.9,20.7,18381.79,0.3,159,0.05,1021.21,888.01,8,19,27,35,45,114,25,23,0,N
CM1,CM1.arff,156,37,19,8,9,75.03,66.0,326814.89,1.65,685,0.02,18156.38,4951.74,44,76,101,145,264,421,100,50,0,N
CM1,CM1.arff,157,3,2,2,1,23.34,6.11,871.59,0.05,33,0.16,48.42,142.62,0,4,12,12,10,23,9,11,0,N
CM1,CM1.arff,158,5,3,1,3,9.14,10.0,913.77,0.03,24,0.1,50.76,91.38,0,0,9,9,8,16,4,10,0,N
CM1,CM1.arff,159,63,32,10,12,78.34,51.47,207526.23,1.34,589,0.02,11529.23,4031.99,53,27,85,138,267,322,83,32,0,N
CM1,CM1.arff,160,35,18,10,9,51.85,64.92,218524.86,1.12,516,0.02,12140.27,3366.16,9,73,107,116,193,323,55,37,1,Y
CM1,CM1.arff,161,3,2,2,1,48.82,16.55,13373.72,0.27,148,0.06,742.98,808.0,2,4,25,27,64,84,29,15,0,N
CM1,CM1.arff,162,5,3,3,1,34.57,10.93,4129.37,0.13,72,0.09,229.41,377.85,0,0,21,21,27,45,21,17,0,N
CM1,CM1.arff,163,7,4,4,1,61.36,23.68,34405.27,0.48,247,0.04,1911.4,1453.01,0,21,41,41,117,130,42,17,0,N
CM1,CM1.arff,164,7,4,2,3,21.05,14.77,4591.91,0.1,64,0.07,255.11,310.91,0,0,22,22,24,40,13,16,0,N
CM1,CM1.arff,165,32,24,19,9,54.69,47.6,123914.45,0.87,402,0.02,6884.14,2603.24,4,62,89,93,154,248,55,34,1,Y
CM1,CM1.arff,166,23,12,8,5,68.78,26.32,47644.35,0.6,288,0.04,2646.91,1810.2,21,29,45,66,94,194,50,28,0,N
CM1,CM1.arff,167,15,8,7,1,90.85,21.94,43721.41,0.66,307,0.05,2428.97,1993.0,6,39,71,77,108,199,64,26,1,Y
CM1,CM1.arff,168,19,10,9,8,46.15,27.11,33930.43,0.42,211,0.04,1885.02,1251.39,6,45,71,77,73,138,35,26,1,Y
CM1,CM1.arff,169,3,2,2,1,16.39,3.5,200.76,0.02,16,0.29,11.15,57.36,4,1,6,10,5,11,5,7,0,N
CM1,CM1.arff,170,25,13,12,1,175.18,28.52,142535.33,1.67,695,0.04,7918.63,4996.93,11,57,143,154,290,405,122,24,1,Y
CM1,CM1.arff,171,3,2,2,1,17.91,6.29,707.7,0.04,27,0.16,39.32,112.59,2,6,6,8,8,19,7,11,0,N
CM1,CM1.arff,172,21,13,2,3,30.99,27.86,24047.21,0.29,150,0.04,1335.96,863.23,7,14,47,54,60,90,28,26,0,N
CM1,CM1.arff,173,19,13,6,1,66.12,13.9,12780.02,0.31,155,0.07,710.0,919.26,4,15,60,64,57,98,41,20,0,N
CM1,CM1.arff,174,3,2,1,1,17.29,12.0,2489.43,0.07,48,0.08,138.3,207.45,2,2,11,13,16,32,8,12,0,N
CM1,CM1.arff,175,3,2,2,1,22.35,7.27,1181.93,0.05,37,0.14,65.66,162.52,0,0,10,10,16,21,11,10,0,N
CM1,CM1.arff,176,20,15,3,4,45.89,35.45,57670.7,0.54,262,0.03,3203.93,1626.88,5,0,63,68,79,183,39,35,0,N
CM1,CM1.arff,177,5,3,3,1,39.66,11.08,4871.43,0.15,81,0.09,270.63,439.53,3,11,22,25,28,53,24,19,1,Y
CM1,CM1.arff,178,3,2,1,1,13.38,8.25,910.48,0.04,27,0.12,50.58,110.36,3,3,9,12,9,18,6,11,0,N
CM1,CM1.arff,179,11,6,4,5,71.01,24.77,43561.75,0.59,279,0.04,2420.1,1758.75,25,13,48,73,107,172,54,25,0,N
CM1,CM1.arff,180,29,15,1,9,50.79,25.26,32401.84,0.43,219,0.04,1800.1,1282.9,19,53,50,69,89,130,37,21,0,N
CM1,CM1.arff,181,5,3,3,1,55.85,28.0,43785.9,0.52,256,0.04,2432.55,1563.78,2,13,47,49,112,144,46,23,1,Y
CM1,CM1.arff,182,7,4,4,1,47.35,11.12,5850.56,0.18,97,0.09,325.03,526.35,3,12,20,23,34,63,26,17,0,N
CM1,CM1.arff,183,18,14,14,1,36.57,23.03,19394.56,0.28,142,0.04,1077.48,842.16,1,0,52,53,58,84,34,27,0,N
